author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
George Orwell,1984,,,London (England),"Portrays a terrifying vision of life in the future when a totalitarian government, considered a ""Negative Utopia,"" watches over all citizens and directs all activities, becoming more powerful as time goes by.",,,,2003.0,,,,0452284236,9780452284234,,http://books.google.com/books/content?id=Ocq6hABFxOEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,,,,,,,,,,,,339.0,,,,9298.0,,,,
George Orwell,1984,,English,,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",,,06/08/49,09/03/13,"['Winston Smith', 'Big Brother', ""O'Brien"", 'Emmanuel Goldstein', 'Tom Parsons', 'Syme', 'Julia']",Kindle Edition,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",,B003JTHWKU,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg,4.19,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']",324371.0,3544.0,,40961427-1984,,,,,94.0,3140442.0,237,,Houghton Mifflin Harcourt,"['1474277', '1025880', '453693', '121946', '64646']",,,"['London, England', 'England', 'United Kingdom']",,
George Orwell,1984,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/1984-George-Orwell-ebook/dp/B003JTHWKU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/1984/dp/B0968319S1""},{""name"":""Hardcover"",""price"":""$10.99"",""url"":""/1984-George-Orwell/dp/1328869334""},{""name"":""Mass Market Paperback"",""price"":""$7.48"",""url"":""/1984-Signet-Classics-George-Orwell/dp/0451524934""},{""name"":""Audio CD"",""price"":""$14.97"",""url"":""/1984-George-Orwell/dp/1433202468""},{""name"":""Flexibound"",""price"":""$13.49"",""url"":""/Deluxe-Modern-Classics-George-Orwell/dp/0358375401""}]",,0452262933,,0452262933,"https://images-na.ssl-images-amazon.com/images/I/5193RUDnQbL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,"[{""category"":""Books / Literature & Fiction / Genre Fiction / Political"",""rank"":89}]",,RN Unlimited Enterprises LLC,,,,,,,5.3 x 0.66 x 8 inches,,,,RN Unlimited Enterprises LLC,,,8 ounces
George Orwell,1984,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/1984-George-Orwell-ebook/dp/B003JTHWKU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/1984/dp/B0968319S1""},{""name"":""Paperback"",""price"":""$11.63"",""url"":""/1984-George-Orwell/dp/0452262933""},{""name"":""Mass Market Paperback"",""price"":""$7.48"",""url"":""/1984-Signet-Classics-George-Orwell/dp/0451524934""},{""name"":""Audio CD"",""price"":""$14.97"",""url"":""/1984-George-Orwell/dp/1433202468""},{""name"":""Flexibound"",""price"":""$13.49"",""url"":""/Deluxe-Modern-Classics-George-Orwell/dp/0358375401""}]",,1328869334,,1328869334,"https://images-na.ssl-images-amazon.com/images/I/31m5scSLXkL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,"[{""category"":""Books / Literature & Fiction / Classics"",""rank"":27},{""category"":""Books / Science Fiction & Fantasy / Science Fiction"",""rank"":54},{""category"":""Books / Science Fiction & Fantasy / Science Fiction / Dystopian"",""rank"":12},{""category"":""Books / Literature & Fiction / Genre Fiction / Political"",""rank"":7},{""category"":""Books / Literature & Fiction / Literary"",""rank"":100}]",,Goodwill of North Georgia,,,,,,,5.5 x 1.04 x 8.25 inches,,,,Goodwill of North Georgia,,,14.4 ounces
George Orwell,1984,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/1984-George-Orwell-ebook/dp/B003JTHWKU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/1984/dp/B0968319S1""},{""name"":""Hardcover"",""price"":""$10.99"",""url"":""/1984-George-Orwell/dp/1328869334""},{""name"":""Paperback"",""price"":""$11.63"",""url"":""/1984-George-Orwell/dp/0452262933""},{""name"":""Audio CD"",""price"":""$14.97"",""url"":""/1984-George-Orwell/dp/1433202468""},{""name"":""Flexibound"",""price"":""$13.49"",""url"":""/Deluxe-Modern-Classics-George-Orwell/dp/0358375401""}]",,9780451524935,,0451524934,"https://images-na.ssl-images-amazon.com/images/I/41DoIQLHzlL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4.7 out of 5 stars,,,,"[{""category"":""Books / Science Fiction & Fantasy"",""rank"":45},{""category"":""Books / Science Fiction & Fantasy / Science Fiction"",""rank"":12},{""category"":""Books / Humor & Entertainment"",""rank"":78},{""category"":""Books / Humor & Entertainment / Humor"",""rank"":37},{""category"":""Books / Literature & Fiction / Classics"",""rank"":6},{""category"":""Books / Literature & Fiction / Humor & Satire"",""rank"":7},{""category"":""Books / Literature & Fiction / Literary"",""rank"":24},{""category"":""Books / Literature & Fiction / United States"",""rank"":31},{""category"":""Books / Science Fiction & Fantasy / Science Fiction / Dystopian"",""rank"":3},{""category"":""Books / Literature & Fiction / Humor & Satire / Satire"",""rank"":6},{""category"":""Books / Literature & Fiction / Genre Fiction"",""rank"":73},{""category"":""Books / Literature & Fiction / Genre Fiction / Political"",""rank"":2},{""category"":""Books / Literature & Fiction / United States / Classics"",""rank"":4}]",,,,,,,,,4.2 x 0.85 x 7.5 inches,,,,Amazon,,,7.2 ounces
George Orwell,1984,,,Literature & Fiction,,,,,2013/09/03,,,,,,B003JTHWKU,https://m.media-amazon.com/images/I/715WdnBHqYL._AC_UY218_.jpg,4.6,,,,,,,False,False,False,,,,,,,,,,HarperCollins Publishers,
George Orwell,1984,,,Foreign Language,,,,,,,,,,,B0064RAQUM,https://m.media-amazon.com/images/I/71d+S46MR5L._AC_UY218_.jpg,4.5,,,,,,,False,False,False,,,,,,,,,,"Editorial Planeta, S.A.U.",
George Orwell,1984 (edición definitiva avalada por The Orwell Estate) (Spanish Edition),,,Foreign Language,,,,,,,,,,,B00BFGQYRQ,https://m.media-amazon.com/images/I/91DVOLgQk-L._AC_UY218_.jpg,4.6,,,,,,,False,False,False,,,,,,,,,,Penguin Random House Grupo Editorial,
George Orwell,1984: The Graphic Novel,,,Teen & Young Adult,,,,,2021/09/14,,,,,,B081TRFQ1Z,https://m.media-amazon.com/images/I/91GUM0QVpfL._AC_UY218_.jpg,4.7,,,,,,,False,False,False,,,,,,,,,,HarperCollins Publishers,
جورج أورويل,1984 (Arabic Edition),,,Foreign Language,,,,,,,,,,,B08974KPW2,https://m.media-amazon.com/images/I/51YbLNfIuzL._AC_UY218_.jpg,4.3,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
"George Orwell (Author), Charlton Griffin (Narrator), Audio Connoisseur (Publisher) & 0 more",1984,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Political""]",,,,,,,"[{""name"":""Kindle"",""price"":""$0.90"",""url"":""/1984-George-Orwell-ebook/dp/B0984JBJRF""},{""name"":""Hardcover"",""price"":""$10.99"",""url"":""/1984-George-Orwell/dp/1328869334""},{""name"":""Paperback"",""price"":""$8.75"",""url"":""/1984-George-Orwell/dp/9388318560""},{""name"":""Mass Market Paperback"",""price"":""$7.48"",""url"":""/1984-Signet-Classics-George-Orwell/dp/0451524934""},{""name"":""MP3 CD"",""price"":""$14.97"",""url"":""/1984-George-Orwell/dp/1433202476""},{""name"":""Flexibound"",""price"":""$13.49"",""url"":""/Deluxe-Modern-Classics-George-Orwell/dp/0358375401""}]",,,,B08NCJQ7VD,,4.7 out of 5 stars,,,,"[{""category"":""Audible Books & Originals / Science Fiction & Fantasy / Science Fiction / Dystopian"",""rank"":84}]",,,,,,,,,,,,,Amazon,,,
George Orwell,1984 & Animal Farm (2In1): The International Best-Selling Classics,,,Science Fiction & Fantasy,,,,,2020/12/09,,,,,,B08Q46ZZ2S,https://m.media-amazon.com/images/I/81T09bsC5pL._AC_UY218_.jpg,4.7,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
George Orwell,1984 (Portuguese Edition),,,Foreign Language,,,,,,,,,,,B08QRG9G23,https://m.media-amazon.com/images/I/91omCzLLwUL._AC_UY218_.jpg,4.6,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
"George Orwell (Author), Benjamin May (Narrator), Page2Page (Publisher) & 0 more",1984,,,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Dystopian""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/1984-George-Orwell-ebook/dp/B003JTHWKU""},{""name"":""Hardcover"",""price"":""$10.99"",""url"":""/1984-George-Orwell/dp/1328869334""},{""name"":""Paperback"",""price"":""$11.63"",""url"":""/1984-George-Orwell/dp/0452262933""},{""name"":""Mass Market Paperback"",""price"":""$7.48"",""url"":""/1984-Signet-Classics-George-Orwell/dp/0451524934""},{""name"":""Audio CD"",""price"":""$14.97"",""url"":""/1984-George-Orwell/dp/1433202468""},{""name"":""Flexibound"",""price"":""$13.49"",""url"":""/Deluxe-Modern-Classics-George-Orwell/dp/0358375401""}]",,,,B0968319S1,,4.7 out of 5 stars,,,,"[{""category"":""Books / Science Fiction & Fantasy / Science Fiction / Dystopian"",""rank"":36},{""category"":""Audible Books & Originals / Science Fiction & Fantasy / Science Fiction"",""rank"":68}]",,,,,,,,,,,,,Amazon,,,
George Orwell,1984 (Spanish Edition),,,Foreign Language,,,,,,,,,,,B0992PZYJC,https://m.media-amazon.com/images/I/81U8LzNHuLS._AC_UY218_.jpg,4.4,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
George Orwell,1984,,,"[""Books"",""Politics & Social Sciences"",""Social Sciences""]",,,,,,,"[{""name"":""Kindle"",""price"":""$9.99"",""url"":""/1984-George-Orwell-ebook/dp/B003JTHWKU""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/1984/dp/B0968319S1""},{""name"":""Hardcover"",""price"":""$10.99"",""url"":""/1984-George-Orwell/dp/1328869334""},{""name"":""Paperback"",""price"":""$11.63"",""url"":""/1984-George-Orwell/dp/0452262933""},{""name"":""Mass Market Paperback"",""price"":""$7.48"",""url"":""/1984-Signet-Classics-George-Orwell/dp/0451524934""},{""name"":""Audio CD"",""price"":""$14.97"",""url"":""/1984-George-Orwell/dp/1433202468""},{""name"":""Flexibound"",""price"":""$13.49"",""url"":""/Deluxe-Modern-Classics-George-Orwell/dp/0358375401""}]",,,,B09C6GMVLH,,4.7 out of 5 stars,,,,"[{""category"":""Books / Politics & Social Sciences / Social Sciences / Ethnic Studies / Mixed Heritage & Multiracial"",""rank"":48}]",,,,,,,,,,,,,Amazon,,,
George Orwell,1984 (Essential Orwell Classics),,,Science Fiction & Fantasy,,,,,2023/02/21,,,,,,B0BWWQ8HY2,https://m.media-amazon.com/images/I/812wxwFAVXL._AC_UY218_.jpg,4.7,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
George Orwell,1984,,,Politics & Social Sciences,,,,,2023/09/27,,,,,,B0CFQD9ZQH,https://m.media-amazon.com/images/I/61u1QqUfL-L._AC_UY218_.jpg,4.6,,,,,,,False,False,False,,,,,,,,,,De Marque,
